January of Years,NE Shelf,NE Deep
1979, 88.8, 71.2
1979, 90.8, 74.8
1979, 90.5, 73.8
1979, 89.0, 70.5
1979, 88.9, 68.3
1979, 92.3, 72.7
1979, 91.3, 74.4
1979, 93.3, 76.5
1979, 88.3, 70.6
1979, 88.0, 72.6
1979, 91.1, 75.8
1979, 88.2, 70.4
1979, 91.1, 72.8
1979, 91.7, 71.9
1979, 93.3, 76.5
1980, 93.6, 53.0
1980, 94.4, 56.2
1980, 93.0, 54.9
1980, 93.6, 57.5
1980, 92.3, 55.7
1980, 89.7, 49.4
1980, 85.5, 48.5
1980, 86.8, 46.9
1980, 84.3, 46.4
1980, 87.6, 48.2
1980, 86.5, 43.2
1980, 88.0, 45.6
1980, 87.9, 48.2
1980, 90.3, 52.4
1980, 92.1, 55.0
1980, 93.5, 56.6
1981, 87.5, 48.4
1981, 87.5, 46.4
1981, 89.4, 49.2
1981, 91.9, 56.8
1981, 87.0, 47.2
1981, 90.1, 49.0
1981, 91.5, 49.9
1981, 91.6, 54.1
1981, 92.8, 59.8
1981, 92.2, 55.6
1981, 93.3, 58.3
1981, 91.3, 58.1
1981, 90.0, 56.2
1981, 89.6, 58.8
1981, 91.5, 62.1
1981, 93.4, 66.6
1982, 92.9, 58.5
1982, 95.2, 63.4
1982, 95.6, 65.4
1982, 95.4, 67.8
1982, 91.3, 63.7
1982, 94.5, 67.9
1982, 92.8, 60.7
1982, 92.5, 61.4
1982, 90.2, 54.2
1982, 91.0, 50.7
1982, 92.1, 55.4
1982, 90.8, 55.8
1982, 89.9, 57.9
1982, 93.8, 61.5
1982, 94.6, 62.0
1983, 86.5, 33.1
1983, 88.1, 35.0
1983, 87.7, 37.4
1983, 86.9, 30.8
1983, 88.1, 30.0
1983, 88.1, 29.7
1983, 87.0, 28.2
1983, 88.1, 31.5
1983, 85.8, 30.7
1983, 86.6, 31.1
1983, 87.5, 35.1
1983, 87.3, 35.4
1983, 85.3, 31.3
1983, 84.7, 29.6
1983, 85.0, 28.2
1983, 86.9, 33.0
1984, 89.4, 44.2
1984, 88.7, 40.9
1984, 92.1, 42.0
1984, 94.1, 44.7
1984, 90.7, 37.7
1984, 88.2, 37.4
1984, 85.9, 31.6
1984, 84.4, 32.2
1984, 87.2, 33.8
1984, 90.1, 37.0
1984, 88.7, 33.3
1984, 88.7, 29.8
1984, 89.2, 30.6
1984, 91.9, 33.3
1984, 90.5, 31.9
1985, 75.1, 29.5
1985, 73.4, 32.0
1985, 78.2, 36.2
1985, 77.7, 40.2
1985, 79.6, 40.0
1985, 76.1, 39.9
1985, 78.0, 42.3
1985, 81.4, 49.0
1985, 80.6, 49.8
1985, 79.7, 44.1
1985, 81.6, 41.3
1985, 84.4, 43.2
1985, 82.4, 45.0
1985, 81.6, 43.2
1985, 84.1, 45.6
1986, 93.0, 59.5
1986, 94.8, 63.1
1986, 96.4, 66.1
1986, 97.1, 67.8
1986, 96.7, 70.2
1986, 96.1, 65.3
1986, 92.9, 61.5
1986, 92.0, 60.0
1986, 94.3, 61.0
1986, 94.1, 57.3
1986, 94.5, 60.8
1986, 95.4, 63.9
1986, 95.4, 67.1
1986, 91.8, 58.9
1986, 93.6, 60.0
1986, 90.7, 61.8
1987, 85.0, 46.3
1987, 86.1, 50.3
1987, 86.3, 51.2
1987, 83.9, 52.0
1987, 82.2, 45.7
1987, 80.4, 52.0
1987, 75.1, 55.1
1987, 80.3, 59.3
1987, 82.0, 60.0
1987, 83.6, 62.5
1987, 86.5, 66.1
1987, 87.7, 70.2
1987, 87.6, 70.5
1987, 87.6, 70.9
1987, 88.0, 67.9
1988, 98.2, 63.4
1988, 98.4, 64.7
1988, 97.4, 62.5
1988, 92.2, 56.8
1988, 92.9, 58.1
1988, 94.4, 59.2
1988, 95.5, 59.5
1988, 95.9, 59.6
1988, 96.0, 60.6
1988, 96.7, 61.5
1988, 96.5, 61.8
1988, 96.9, 64.5
1988, 97.5, 67.4
1988, 96.9, 67.0
1988, 98.2, 68.0
1988, 98.2, 68.4
1988, 98.5, 69.0
1988, 98.7, 69.0
1989, 95.4, 83.0
1989, 91.8, 78.1
1989, 92.4, 78.2
1989, 93.5, 78.7
1989, 93.9, 77.2
1989, 94.6, 77.1
1989, 96.6, 80.7
1989, 97.2, 81.0
1989, 96.9, 79.9
1989, 97.2, 82.4
1989, 97.4, 84.0
1989, 96.8, 82.8
1989, 96.8, 82.9
1989, 96.5, 80.1
1989, 96.2, 77.4
1989, 96.7, 80.0
1989, 97.2, 81.7
1989, 97.4, 82.8
1989, 96.2, 80.8
1989, 95.3, 77.3
1989, 94.8, 75.1
1989, 95.3, 74.7
1989, 96.3, 76.7
1989, 96.5, 75.6
1989, 96.5, 71.6
1989, 97.1, 71.2
1989, 97.6, 72.7
1989, 97.1, 71.3
1989, 97.2, 70.5
1989, 97.2, 70.3
1989, 96.9, 69.5
1990, 93.6, 61.8
1990, 92.3, 60.9
1990, 90.0, 58.9
